,P10,P50,P90
2023-09-01,875.1607416942715,934.9607924552251,994.9881456968168
2023-10-01,854.2838639495129,936.5454969074001,1023.0485610871096
2023-11-01,839.1258921234767,938.4688900394447,1044.185737843285
2023-12-01,822.7314307340675,938.806600985873,1062.8770824680137
2024-01-01,811.5266968350311,940.0519748007184,1080.7186669091916
2024-02-01,803.5357142847727,941.1564402746255,1097.0029864333758
2024-03-01,793.5589013937555,943.070381484628,1117.5604000765168
2024-04-01,784.2315637560757,944.2525292707535,1133.297284829649
2024-05-01,773.7643507671866,943.9302712984927,1148.3176721031846
2024-06-01,768.7341885578063,945.7133302467364,1162.693912960676
2024-07-01,763.1330783938281,947.4367326478038,1177.060221710806
2024-08-01,755.1921468941824,948.9415693705716,1190.1632790418362
2024-09-01,747.9613569987314,949.776822256171,1196.6309714908366
2024-10-01,741.5492657096454,951.8694198137367,1211.6411389907116
2024-11-01,735.1954878567624,951.578702253109,1224.053676291347
2024-12-01,731.6404206045243,952.3791581418783,1237.9488113345365
2025-01-01,725.2236221574493,952.9991757606097,1254.9143388384573
2025-02-01,728.1686089714568,954.5916582053854,1268.2668191334262
2025-03-01,721.1583347299704,956.5358686507718,1279.7439002689716
2025-04-01,718.2049963974382,959.0292820748163,1288.576346332606
2025-05-01,711.5192851101522,960.4095741806435,1300.519695096427
2025-06-01,705.3627514878438,962.2066749091252,1312.5889262176788
2025-07-01,704.2811088508406,963.3661231162392,1325.9147802421576
2025-08-01,703.695344794639,961.7339039007152,1337.4284532981408
2025-09-01,701.1792910843014,964.8469969724863,1340.2987984668434
2025-10-01,701.2215891990367,965.5666395503865,1354.0709351002365
2025-11-01,693.6788606934542,964.7246805143384,1361.064289870171
2025-12-01,691.0065434973092,967.3471233267968,1370.9782416202079
2026-01-01,691.0963692409679,971.4027833302682,1382.1181924874716
2026-02-01,687.5595985835946,971.9717747931611,1394.3899201993775
2026-03-01,684.2648252989467,974.7633374426442,1401.8957646162544
2026-04-01,678.3505356886498,978.9914467696826,1415.3319841697771
2026-05-01,674.1627680217202,984.6523951683018,1421.1943648017684
2026-06-01,673.7869614106166,981.8257482591105,1435.6890376680692
2026-07-01,670.8275343940697,984.9118183179455,1438.5870995491002
2026-08-01,667.4970119719577,982.5924068461985,1455.6487680741113
